PC1,PC2,PC3,PC4,Class
-4.972914154683485,1.8263555119202484,-0.75302525380248,-0.39158885653944936,SEKER
-5.429075111922921,2.93760504660666,-2.1972410159264775,-0.4344901822008094,SEKER
-4.749513677168098,1.8286269789230323,-0.5174452111610801,-0.12676672204121314,SEKER
-4.289935721937123,2.003728086569827,-3.5683536752572658,0.08757143942066045,SEKER
-6.343428057808034,4.095577484493569,-1.1882616993253403,-0.8339431343422438,SEKER
-4.93858844860612,2.3424358329791004,-0.722745020644865,-0.33310598055289853,SEKER
-4.510670107492829,2.1818631084289244,-2.0278578710398665,-0.7281656608054664,SEKER
-5.006688421581459,2.4562210892293748,-0.8243787556511089,-0.37793650339608564,SEKER
-4.927055538786685,2.425877769708578,-0.9294971473874136,-0.3989117365634822,SEKER
-4.781697225360874,2.185449464592385,-0.2703209875088182,-0.05481612401613794,SEKER
-4.951582519553311,2.5278691418567982,-0.9521725791149385,-0.4778133467177526,SEKER
-5.348744959014823,3.1693227157563695,-1.2482802030116702,-0.28775324219751697,SEKER
-4.874769139247355,2.4686937567131966,-0.9037748099188255,-0.5758059857741046,SEKER
-4.732152086094695,2.3999506172552416,-0.7905677984050375,0.20532778821805306,SEKER
-5.244191909367467,2.9790262116736175,-0.8258632473371395,-0.38328434917710763,SEKER
-5.1602116669360045,2.8045040395922434,-0.9221433603892636,-0.6431654739138964,SEKER
-4.776233297057743,2.420771542048733,-0.9772562752759456,-0.24399593171460948,SEKER
-4.912943550576567,2.4898212298084004,-0.8607617172131418,-0.5929372201400499,SEKER
-5.263872463880147,2.9729896184688607,-0.8307207128366713,-0.5839154156071779,SEKER
-4.970880481773563,2.5108614423127444,-0.23315410332322403,-0.3394050517141953,SEKER
-4.669757027699715,2.113425713438272,-0.03419166694661589,-0.29332803854429956,SEKER
-5.240852341658765,2.9774866084890754,-0.5766991700921865,-0.5655687722263806,SEKER
-4.046583716496489,1.87961014898552,-2.540483402938681,-0.614857543084933,SEKER
-3.5464240529777835,0.8030015384446564,-0.4591108916253465,-0.19068798468313694,SEKER
-2.9289160761488873,-0.01363855592453489,-0.3210582907505671,-0.2281207662997261,SEKER
-5.541785535506974,3.54132561409804,-1.2752612562335646,-0.698720447044071,SEKER
-4.7898257898447145,2.613231503628396,-1.1283701898786915,-0.40212153900345987,SEKER
-4.723881224757344,2.316580574716054,-0.2130824328153804,-0.25362220603014524,SEKER
-4.364928372367953,2.006356457548524,-0.8986607833034669,-0.14870795516691465,SEKER
-4.4328243876416815,1.8631773218137115,0.24247453261348403,-0.180774764619407,SEKER
-5.099008512351606,3.0223849089062576,-1.1939407300433513,-0.5193689800282161,SEKER
-4.051805256788086,1.667646743853918,-1.0134427292313357,-0.20213407333978028,SEKER
-4.0024084570764735,1.5635297542305095,-0.671007811267368,0.10159063223354925,SEKER
-5.119060286659202,2.899437381443335,-0.43291745005071336,-0.35789530436599404,SEKER
-5.423884052120152,3.2982143770643217,-0.5954874029970392,-0.5963158189404233,SEKER
-5.520973970815442,3.4418165177096984,-0.6201646355860533,-0.6002380665641405,SEKER
-5.240088913603619,3.375533353313835,-1.5834109290970513,-0.27534107091764437,SEKER
-5.188278283546594,3.1840759659902598,-1.3565863921714487,-0.8036912081679,SEKER
-3.6462141301573463,1.0320996548885795,-0.10627897369103664,0.19550175267218364,SEKER
-4.357351101558898,1.8647303126969414,-0.009969838062086596,-0.21733010596300356,SEKER
-4.940619761970764,2.8370402316105388,-0.9477824351202838,-0.3902660277373924,SEKER
-5.2061441130185395,3.0580206481763588,-0.390537632767371,-0.35114807142710547,SEKER
-2.9540477316769813,0.2850377383484721,-0.52434794671195,0.4013847851830759,SEKER
-3.946751241096462,1.5911431276557881,-1.0856638816141617,-0.28090517164622447,SEKER
-4.473700277494249,2.047064976078061,-0.18241131933157187,-0.4983851183949951,SEKER
-4.733799926731216,2.5594936829687924,-0.9585565442509175,-0.65452000039979,SEKER
-4.409656215870949,2.1143910212422066,-0.7273368897742503,-0.5317767723089754,SEKER
-4.342593529623076,1.9696190937586253,-0.6109423423454972,-0.6059634052700031,SEKER
-4.2647158572029795,2.07822207408623,-1.265021078151311,-0.30209617640158587,SEKER
-4.743646917091466,2.40970715911424,-0.17894675258901957,-0.4932764602844553,SEKER
-4.52787431194437,2.3176603197561705,-0.7385958665683203,-0.2671816724905123,SEKER
-4.498687915514025,2.184662164926376,-0.2025163095481669,-0.1520696778423095,SEKER
-4.9370972754717135,2.833344901989839,-0.7061138688669114,-0.08759972219249036,SEKER
-5.014330006949795,2.9466689760361486,-0.5977685717755764,-0.23819734199056186,SEKER
-4.5640758615721735,2.3534328008393985,-0.5268763191484714,-0.14901024170088928,SEKER
-4.502184975166133,2.3303361904935596,-0.7215724130585222,-0.12913201747679495,SEKER
-4.125314894983015,1.9595838571426198,-1.271713059473799,-0.6175179351602195,SEKER
-5.029671776259514,2.853411872153877,-0.09135276300343548,-0.19865535664086567,SEKER
-4.7151937732625875,2.5493103015401615,-0.6853666579698372,-0.47473228249642857,SEKER
-4.292766222833346,1.910951814087797,-0.17163670452403867,-0.3838601802610234,SEKER
-4.686805615146144,2.516893211508025,-0.47867254711734664,-0.09995867903722111,SEKER
-4.682570878667366,2.4270067855493584,-0.3476086821221063,-0.6471527711309466,SEKER
-4.680792276259083,2.5853439283188524,-0.5133146227840042,0.022222379552926358,SEKER
-4.011691765195481,1.7626088349826488,-1.1354913118130552,-0.2746170572581193,SEKER
-4.1287662553099995,1.7907941435238177,-0.17672326917089615,-0.012321963895360593,SEKER
-4.5060298682857844,2.173974845119074,0.022249525187085794,-0.2977455856018004,SEKER
-4.680935296781301,2.8902825420278817,-1.419606894126714,0.2919076103417595,SEKER
-3.458386836058981,0.9025999161402473,0.11209884865060538,0.3021731969656294,SEKER
-4.405754843091549,2.09846522601047,-0.14043901254980354,-0.36684546696105935,SEKER
-4.475180109913662,2.2646846353360055,-0.30964325993386604,-0.17192696537261543,SEKER
-5.245684536445661,3.4498590933431723,-0.8103539670030722,-0.15121571065428008,SEKER
-5.321459384215251,3.4984110797455057,-1.1793442149128357,-0.7318821222267542,SEKER
-4.465177903975144,2.3926472261497147,-0.6101290886728266,0.002625225735865599,SEKER
-4.928115179912869,2.832795823463995,-0.3826684136559669,-0.44999620349223596,SEKER
-4.442010222310793,2.184837175645126,-0.1500142188251732,-0.18411427802490254,SEKER
-4.55797877544884,2.4924044483966914,-0.41295870025816983,0.23882349376608308,SEKER
-4.846681563071633,2.6997705051080887,-0.5162216273005134,-0.9685982001392681,SEKER
-4.620499671884095,2.6134484389101247,-0.6598885683025216,-0.023380006607243764,SEKER
-4.746498658474694,2.962432937108481,-1.2012700159496341,0.07306952930200136,SEKER
-3.648032896861038,1.2347240992646615,-0.6758289904273524,-0.5183584537127098,SEKER
-4.83379457615423,2.80828694620734,-0.5607913530967285,-0.3008530791663722,SEKER
-4.174922878184969,1.9514114486546383,-0.2935973400312201,0.033968083058735235,SEKER
-4.6246946611117785,2.7566441899882426,-1.4177103423721782,-0.4226443557228035,SEKER
-4.36153154219082,2.159010562336905,-0.4067241200208966,-0.3373992529193879,SEKER
-4.4290213873325275,2.469673805436488,-1.3382279089669646,-0.3264751633477551,SEKER
-5.801490920008109,4.295977173981826,-1.861756746768829,-1.1365033514908374,SEKER
-3.5761147679545444,1.5435260283335814,-1.8231178854140022,-0.231938218187004,SEKER
-4.001677372901898,1.9476230316074146,-1.3094635192076471,-0.40666179466717134,SEKER
-4.224881435967316,2.1475966098257766,-1.207006290814513,-0.6389195798635586,SEKER
-4.313333077373824,2.2363902523478445,-0.5044869886068295,0.025275951058352005,SEKER
-4.64537663906086,2.5498847777633373,-0.1426774019434665,-0.00225235987053912,SEKER
-4.474977771213637,2.2962303297500797,-0.38546250142582705,-0.4680000703684801,SEKER
-4.846150194257432,2.984302188284128,-1.0575643311558627,-0.41244723221702856,SEKER
-4.5537070443949785,2.50688848053823,-0.14680571122013347,0.2234518707019189,SEKER
-4.505356476649429,2.5383351121291757,-0.8668725620699687,-0.310883566589962,SEKER
-3.6798200856277137,1.2023499512146127,0.5594870593343951,0.2905620388169307,SEKER
-4.911263252389676,2.846084932445288,-0.1383712036061932,-0.4629869358897188,SEKER
-4.986725011027746,3.2058122312217816,-1.25975632731048,-0.53692495119093,SEKER
-4.246795027547298,1.9456314942982287,0.1124290577718277,-0.24344443757133283,SEKER
-4.896318600261117,2.7771769706331235,0.0365386619067503,-0.46764626993930636,SEKER
-4.816792683789838,2.8044241455676584,-0.14096614838206536,-0.11450585001481062,SEKER
-3.3253780290830406,0.9703319228881804,-0.42137168526406865,-0.24507377202524935,SEKER
-4.798479715355064,2.8275662016189904,-0.2628058407117945,-0.04663158887172404,SEKER
-3.791861452568459,1.4496097211670806,-0.01773898557658405,-0.08057624615588366,SEKER
-5.8804713246798475,4.391191962663597,-1.6887023849291207,-1.028630812328736,SEKER
-4.047488452650653,1.7759382903983545,0.27418311974405557,0.13632391257838697,SEKER
-5.152882812370483,3.314888857568654,-0.9139211726971952,-0.8900919133763993,SEKER
-2.869313228729579,0.6518177001951103,-1.4619035192827667,-0.3065374223176999,SEKER
-3.931789247850377,1.8058473067022662,-0.5240660981141391,-0.0051149901399433605,SEKER
-4.278062830044957,2.359121104383213,-0.9170901295163812,0.1455357907610918,SEKER
-4.377463347708072,2.5068240379242215,-0.7627951987510098,0.0916283597367792,SEKER
-4.686414587566372,2.6711067889893907,-0.07214998428589703,0.0027940993594123913,SEKER
-4.456165311115912,2.690458422406509,-1.7006873914398708,-0.5071135884807758,SEKER
-3.9360851222526643,1.6183048662341921,0.1357941025054028,-0.02220741633904847,SEKER
-4.386805595483549,2.302724472531727,-0.5610350332415165,-0.4889174939059843,SEKER
-4.675312674152959,2.740289479878641,-0.6370855102184413,-0.23085242532557768,SEKER
-4.714848112113045,2.781842801403651,-0.7845991886649845,-0.7057827433904186,SEKER
-5.122206739557087,3.2264507238817166,-0.47673451285576285,-0.7345558917737508,SEKER
-4.639763545012411,2.6110092490990695,-0.22910284748680293,-0.39008458100997995,SEKER
-4.1140257687034385,1.924535525025193,-0.4419556255416592,-0.6035052594662121,SEKER
-4.214744114847719,2.066252864271924,0.07327295650726104,0.17260286637719377,SEKER
-4.894852237105767,3.1302077900434835,-0.8578436047921469,-0.26535224386768247,SEKER
-4.553717733773711,2.53347392828796,-0.2718231572209562,-0.2256689555911122,SEKER
-4.646935819833087,2.61721431307978,-0.2649074004181543,-0.4354980988508516,SEKER
-4.287635125013932,2.2592115060261317,-0.6184076375365927,-0.30978043025244856,SEKER
-5.178774065914031,3.389017460230925,-0.5955423954985298,-0.32042500568987375,SEKER
-4.65031835533973,2.6853969598224863,-0.14609959898313793,-0.022812498807277454,SEKER
-4.392914076114188,2.2692606354565688,0.14731163431039887,-0.0901316957880595,SEKER
-5.259780805395667,3.482882712082385,-0.3950819133312584,-0.4266399039536862,SEKER
-4.3767758659633325,2.2250685999747524,-0.031305577354355706,-0.4979201903770743,SEKER
-4.547893069761039,2.5996685548984386,-0.8338927869049989,-0.5363749904655443,SEKER
-5.862849674684935,4.3072994694722295,-0.8805609430203669,-0.6493608170952061,SEKER
-4.077196777194479,1.9300447650709762,-0.5715822532428938,-0.8672089121586775,SEKER
-4.484638360583298,2.488770051561824,-0.5835089720367322,-0.6192866401214429,SEKER
-4.950036790401058,3.0555130698766884,-0.3478708865103278,-0.46580365925892286,SEKER
-4.6687529016596185,2.6354378297079313,-0.44190296851488287,-0.8784404384904704,SEKER
-4.987987620293807,3.5991471035192677,-2.4735897081939453,-0.8510184785653129,SEKER
-4.609455775309203,2.7859342491253796,-0.8553191693523436,-0.2877375209183183,SEKER
-5.385124649109696,3.7536809189474147,-0.7089605600656509,-0.30167009841561354,SEKER
-4.364479629778372,2.427219134625335,-0.8672974798154119,-0.5366579846420484,SEKER
-4.615875794348394,2.6980096668375726,-0.24717051626281014,-0.1370390705266584,SEKER
-4.006929977345544,1.813718320479684,0.0807064601227839,-0.2734797225389408,SEKER
-3.9185795552273635,1.920167737111844,-0.3022009898537506,0.4329870550317392,SEKER
